dateTime,walletId,Wallet,Transaction ID,operation,assetTicker,Token Amount,USD Value,fromAddress,toAddress
10/02/25,aoLqhYqvv7a2wild8WNs,,SOL.2LoqMMX2cMeZQ9FpF5MGLhtwacbGADSCyKkhRLqerBXXZKXXQxgUdb1eLFtGchrq3YSJQYxWPLwFGxHqWjsevbwp,DEPOSIT,SOL-USDC,500.2,500.2,Fi9sxLeqpFz1pPMyDtbFKzXdiaNphCMFxgHakfyoSzTk,Hk1a5Y9mvZ8YFGvtxwKSYRa67mBt3tKv3nsTXXiDkjaV
,,,,,,,,,
10/02/25,S02lqhcF02X8yft4ltXX,,SOL.W39JBuAxrJCMzBAEXxAQj5PhLLmPARU9ZsGCSTPyVm72Nu8xbP8SSBSDCHAFmdDgMNhZ2Uw8TjJuRSJ9QV5VJWr,DEPOSIT,SOL-JUP,896.069234,413.853,6EjSKJnE2aYaWAssRLZuULxDNjKsjhoR43nDaTDNEgL,3JxjQ9aESRbQWwHgUenLVWAwh2s1axa4kwfTuECpMz8t
,,,,,,,,,
10/02/25,btq6TdbWeiQzw4yl3y6G,,aa7a5379f4ddb7479e4f72b5047a361299d8bf4960767383f315624a8a8846fd,DEPOSIT,BTC,0.0005085,61.022,,bc1q86jnkrxdflsnrghk3qpf3efl2sp2kq8mcx0cn5
,,,,,,,,,
10/03/25,142KkYhARb3Z23y20c71,,0x3b9799ddaaa5305a39462ae99f853e053ebf0f77b5e6098afdbcb4dbcf98e3e1,WITHDRAW,USDC,-23000.0,-23000.0,,0x9eFf8a23FB984CE75403104EdCdD1F2d1B592D1e
,,,,,,,,,
10/03/25,nv6cqu6esAEqzXQSzTI6,,SOL.2bSrhza73tND3amTTFYoiKgcJ7Rk1rfGsuyW3nBqBurda92SxJrkyU2P5PoSbh7yRT9hsWdy5rXSm2s5RQm5yFyV,WITHDRAW,SOL-USDC,-18512.0,-18512.0,CDPtrVWm4HurRkcCF4rVpVZDFPmkrEiY6piuddKsi7Ct,3vMJF8EPqEkY1aJ9iLdfQFJVQxDAZdcRUaTozm35g89i
10/03/25,nv6cqu6esAEqzXQSzTI6,,SOL.2bSrhza73tND3amTTFYoiKgcJ7Rk1rfGsuyW3nBqBurda92SxJrkyU2P5PoSbh7yRT9hsWdy5rXSm2s5RQm5yFyV,FEE,SOL,1.1736e-05,0.003,3wpk3u9cll6qxdsq68hd5wee3mdxpj4h51cz8orznbeb,
,,,,,,,,,
10/03/25,nv6cqu6esAEqzXQSzTI6,,SOL.3FzPQwYuDbASjZQhB123aeQeQuXfCGueK4fxz5TYAFEhmCnffgqY7r8ZEEvfnzrURjoiMTah3o18aUqiV8N7oDz1,DEPOSIT,SOL-USDC,121377.087,121377.087,Cdbt22RFkAT6Y7d9hZWp8hy9ZCrCC75PXweY5p6obSoj,CDPtrVWm4HurRkcCF4rVpVZDFPmkrEiY6piuddKsi7Ct
,,,,,,,,,
10/03/25,nv6cqu6esAEqzXQSzTI6,,SOL.5w4pQPi1KrxchR55NihAqrW8qzo4o9UrDDuGpovyNX34dh2ATXAXPvSEnZyZMDHPP2ABDXnpW23kXK4WUKRnvWNX,WITHDRAW,SOL-USDC,-12989.85,-12989.85,CDPtrVWm4HurRkcCF4rVpVZDFPmkrEiY6piuddKsi7Ct,He3V99mu2VaUwk8JVNC1seyYiFkiffXNuDYCMVFDbF8t
10/03/25,nv6cqu6esAEqzXQSzTI6,,SOL.5w4pQPi1KrxchR55NihAqrW8qzo4o9UrDDuGpovyNX34dh2ATXAXPvSEnZyZMDHPP2ABDXnpW23kXK4WUKRnvWNX,FEE,SOL,1.0812e-05,0.003,3wpk3u9cll6qxdsq68hd5wee3mdxpj4h51cz8orznbeb,
,,,,,,,,,
10/03/25,S02lqhcF02X8yft4ltXX,,SOL.C7LcE5q2TXSQCSPAKpwKc4vVui1NTdoStFH8CFTzyHz9E4N9Hqmh4xKby7oEAyhVXXn7oKs92h9SzQXvgRwj8yf,DEPOSIT,SOL,0.00203928,0.477,0,42WtPaevr4nGSM3yDsEv12P4HkkmditC2ZEbzYK6xTxq
